departamento,anio,semana,n_casos,tipo,precipitacion,temp. Max,temp. Min,humedad 
PIURA,2017,1,35,dengue,0,36.4,22.8,73.6
PIURA,2017,2,41,dengue,0,37.0,23.8,69.8
PIURA,2017,3,43,dengue,4,37.4,23.8,77.9
PIURA,2017,4,49,dengue,0,36.6,24.0,76.1
PIURA,2017,5,77,dengue,16,36.8,24.3,91.6
PIURA,2017,6,112,dengue,1,35.6,24.6,83.7
PIURA,2017,7,148,dengue,2,37.4,24.6,75.5
PIURA,2017,8,213,dengue,3,36.0,24.0,75.5
PIURA,2017,9,310,dengue,4,36.9,25.5,85.4
PIURA,2017,10,521,dengue,19,36.0,24.2,87.8
PIURA,2017,11,682,dengue,6,35.6,25.2,88.1
PIURA,2017,12,941,dengue,37,35.4,24.6,93.5
PIURA,2017,13,1457,dengue,6,34.2,24.9,86.6
PIURA,2017,14,2340,dengue,0,33.9,23.0,78.7
PIURA,2017,15,2903,dengue,0,34.8,23.1,78.7
PIURA,2017,16,3917,dengue,0,34.2,23.0,87.6
PIURA,2017,17,3697,dengue,0,33.6,22.1,78.9
PIURA,2017,18,4912,dengue,0,33.5,21.3,79.6
PIURA,2017,19,3817,dengue,0,33.0,22.3,82.0
PIURA,2017,20,2948,dengue,0,31.4,22.1,80.2
PIURA,2017,21,2002,dengue,0,31.2,20.8,80.7
PIURA,2017,22,1560,dengue,0,30.2,20.7,83.7
PIURA,2017,23,1237,dengue,0,30.4,20.1,78.4
PIURA,2017,26,515,dengue,0,24.6,18.6,81.2
PIURA,2017,27,311,dengue,0,30.0,18.4,81.1
PIURA,2017,28,265,dengue,0,29.4,19.2,87.0
PIURA,2017,29,245,dengue,0,29.4,18.7,83.5
PIURA,2017,30,172,dengue,0,28.9,18.4,86.3
PIURA,2017,31,152,dengue,0,28.8,18.4,85.7
PIURA,2017,32,106,dengue,0,29.4,18.0,81.4
PIURA,2017,33,59,dengue,0,29.4,17.4,79.2
PIURA,2017,34,62,dengue,0,29.3,17.3,86.0
PIURA,2017,35,37,dengue,0,29.6,17.4,82.6
PIURA,2017,36,45,dengue,0,30.7,17.9,80.3
PIURA,2017,37,44,dengue,0,30.6,17.3,83.6
PIURA,2017,38,44,dengue,0,32.2,17.1,81.4
PIURA,2017,39,34,dengue,0,31.6,17.3,78.9
PIURA,2017,40,39,dengue,0,30.2,17.7,78.3
PIURA,2017,41,25,dengue,0,31.6,16.9,74.3
PIURA,2017,42,32,dengue,0,31.6,17.3,75.9
PIURA,2017,43,19,dengue,0,32.0,17.7,75.8
PIURA,2017,44,23,dengue,0,30.5,17.0,78.2
PIURA,2017,45,22,dengue,0,29.8,16.9,78.5
PIURA,2017,46,16,dengue,0,31.4,17.9,76.8
PIURA,2017,47,22,dengue,0,31.6,18.6,74.7
PIURA,2017,48,24,dengue,0,33.2,19.0,72.1
PIURA,2017,49,24,dengue,0,33.6,19.7,72.3
PIURA,2017,50,18,dengue,0,33.2,19.2,73.5
PIURA,2017,51,21,dengue,0,34.4,21.5,69.3
PIURA,2017,52,23,dengue,0,34.6,20.5,76.6
PIURA,2017,53,14,dengue,0,34.4,19.8,68.7
PIURA,2018,1,9,dengue,0,35.8,21.0,70.2
PIURA,2018,2,10,dengue,0,35.6,20.9,73.9
PIURA,2018,3,17,dengue,0,35.8,22.2,65.9
PIURA,2018,4,16,dengue,0,36.8,21.5,66.8
PIURA,2018,5,17,dengue,0,36.8,23.7,66.0
PIURA,2018,6,16,dengue,0,35.6,23.8,68.6
PIURA,2018,7,17,dengue,0,37.0,23.9,69.8
PIURA,2018,8,12,dengue,0,36.8,23.6,71.1
PIURA,2018,9,13,dengue,0,37.0,22.0,66.7
PIURA,2018,10,15,dengue,0,36.6,22.4,64.3
PIURA,2018,11,10,dengue,0,36.6,23.8,68.0
PIURA,2018,12,23,dengue,0,36.4,23.0,69.1
PIURA,2018,13,11,dengue,0,35.2,21.7,69.4
PIURA,2018,14,25,dengue,1,35.6,22.3,81.6
PIURA,2018,15,54,dengue,0,36.2,21.2,70.9
PIURA,2018,16,49,dengue,0,34.6,20.1,68.7
PIURA,2018,17,46,dengue,0,36.3,21.5,70.0
PIURA,2018,18,9,dengue,0,34.4,21.3,71.0
PIURA,2018,19,10,dengue,0,33.0,20.4,74.3
PIURA,2018,20,15,dengue,0,32.2,19.7,76.2
PIURA,2018,21,25,dengue,0,31.9,18.7,75.2
PIURA,2018,22,7,dengue,0,32.0,18.9,78.6
PIURA,2018,23,10,dengue,0,30.8,18.6,81.5
PIURA,2018,24,5,dengue,0,31.4,18.7,79.6
PIURA,2018,25,3,dengue,0,29.4,17.8,79.6
PIURA,2018,26,2,dengue,0,30.9,18.0,76.8
PIURA,2018,27,7,dengue,0,30.2,17.9,80.1
PIURA,2018,28,2,dengue,0,30.0,17.9,79.5
PIURA,2018,29,2,dengue,0,30.6,17.9,78.4
PIURA,2018,30,1,dengue,0,31.4,18.3,78.9
PIURA,2018,31,1,dengue,0,31.0,18.0,75.7
PIURA,2018,32,1,dengue,0,30.4,18.0,75.3
PIURA,2018,33,1,dengue,0,31.0,18.3,77.5
PIURA,2018,34,1,dengue,0,30.9,17.5,74.2
PIURA,2018,35,1,dengue,0,31.4,18.0,74.1
PIURA,2018,36,1,dengue,0,31.6,17.9,75.7
PIURA,2018,37,2,dengue,0,31.0,17.7,77.8
PIURA,2018,38,1,dengue,0,31.9,17.1,76.8
PIURA,2018,39,0,dengue,0,32.0,18.0,74.7
PIURA,2018,40,1,dengue,0,31.8,25.0,79.2
PIURA,2018,41,1,dengue,0,33.0,18.9,76.8
PIURA,2018,42,6,dengue,0,31.8,18.6,74.3
PIURA,2018,43,2,dengue,0,31.6,18.1,73.0
PIURA,2018,44,2,dengue,0,33.0,18.9,72.4
